,Storm identification number,storm name,monthdaytime,year,latitude (deg N),longitude (deg W),maximum wind speed (kt),minimum central pressure (hPa),radius of maximum wind speed (nm),eye diameter (nm),pressure of the outer closed isobar (hPa),radius of the outer closed isobar (nm),radii (nm) of 34 kt wind to the NE,radii (nm) of 34 kt wind to the SE,radii (nm) of 34 kt wind to the SW,radii (nm) of 34 kt wind to the NW,radii (nm) of 50 kt wind to the NE,radii (nm) of 50 kt wind to the SE,radii (nm) of 50 kt wind to the SW,radii (nm) of 50 kt wind to the NW,radii (nm) of 64 kt wind to the NE,radii (nm) of 64 kt wind to the SE,radii (nm) of 64 kt wind to the SW,radii (nm) of 64 kt wind to the NW,storm type code,distance to the nearest major landmass (km)
52,AL0388 ,CHRIS     ,82806,1988,28.2,80.0,40,1008,,,1012.0,130.0,100.0,100.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,55.0
53,AL0388 ,CHRIS     ,82812,1988,30.8,80.8,45,1005,,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,62.0
54,AL0388 ,CHRIS     ,82818,1988,32.8,81.1,35,1006,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-65.0
55,AL0388 ,CHRIS     ,82900,1988,34.1,81.1,25,1008,,,1012.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-181.0
56,AL0388 ,CHRIS     ,82906,1988,35.8,80.6,20,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-275.0
57,AL0388 ,CHRIS     ,82912,1988,37.5,79.5,20,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-317.0
58,AL0388 ,CHRIS     ,82918,1988,39.2,77.6,20,1010,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-193.0
59,AL0388 ,CHRIS     ,83000,1988,41.2,73.6,20,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-59.0
60,AL0388 ,CHRIS     ,83006,1988,43.5,69.9,20,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,20.0
61,AL0388 ,CHRIS     ,83012,1988,45.0,65.0,25,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,0.0
62,AL0388 ,CHRIS     ,83018,1988,46.5,60.0,25,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,38.0
63,AL0488 ,DEBBY     ,83118,1988,20.1,91.0,25,1006,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,51.0
64,AL0488 ,DEBBY     ,90100,1988,20.2,91.7,25,1005,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,124.0
65,AL0488 ,DEBBY     ,90106,1988,20.3,92.4,25,1005,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,189.0
66,AL0488 ,DEBBY     ,90112,1988,20.4,93.1,25,1004,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,209.0
67,AL0488 ,DEBBY     ,90118,1988,20.5,93.8,30,1003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,238.0
68,AL0488 ,DEBBY     ,90200,1988,20.6,94.5,30,1003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,222.0
69,AL0488 ,DEBBY     ,90206,1988,20.7,95.2,40,1001,,,1008.0,280.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,164.0
70,AL0488 ,DEBBY     ,90212,1988,20.8,95.9,50,998,,,1004.0,185.0,50.0,50.0,50.0,50.0,,,,,0.0,0.0,0.0,0.0,* ,107.0
71,AL0488 ,DEBBY     ,90218,1988,20.8,96.6,65,992,,,1008.0,130.0,75.0,75.0,75.0,75.0,25.0,25.0,25.0,25.0,10.0,10.0,10.0,10.0,* ,44.0
72,AL0488 ,DEBBY     ,90300,1988,20.7,97.3,65,987,,,,,,,,,,,,,,,,,* ,-25.0
73,AL0488 ,DEBBY     ,90306,1988,20.5,98.1,50,995,,,,,,,,,,,,,0.0,0.0,0.0,0.0,* ,-108.0
74,AL0488 ,DEBBY     ,90312,1988,20.3,98.9,35,998,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-191.0
75,AL0488 ,DEBBY     ,90318,1988,20.0,99.8,30,999,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-288.0
76,AL0488 ,DEBBY     ,90400,1988,19.8,100.7,30,1000,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-242.0
77,AL0488 ,DEBBY     ,90406,1988,19.6,101.6,30,1000,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-183.0
78,AL0488 ,DEBBY     ,90412,1988,19.5,102.5,30,1000,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-159.0
79,AL0488 ,DEBBY     ,90418,1988,19.4,103.4,30,1001,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-85.0
80,AL0488 ,DEBBY     ,90500,1988,19.5,104.3,30,1001,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-49.0
81,AL0488 ,DEBBY     ,90506,1988,19.6,105.1,30,1002,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-2.0
82,AL0488 ,DEBBY     ,90512,1988,19.9,105.9,30,1003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,49.0
83,AL0488 ,DEBBY     ,90518,1988,20.5,106.4,30,1004,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,74.0
84,AL0488 ,DEBBY     ,90600,1988,21.0,106.8,30,1004,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,132.0
85,AL0488 ,DEBBY     ,90606,1988,21.5,107.1,30,1005,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,157.0
86,AL0488 ,DEBBY     ,90612,1988,22.0,107.4,25,1005,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,165.0
87,AL0488 ,DEBBY     ,90618,1988,22.5,107.7,25,1006,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,150.0
88,AL0488 ,DEBBY     ,90700,1988,23.0,108.0,25,1006,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,135.0
89,AL0488 ,DEBBY     ,90706,1988,23.5,108.3,25,1007,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,114.0
90,AL0488 ,DEBBY     ,90712,1988,23.9,108.5,25,1007,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,105.0
91,AL0488 ,DEBBY     ,90718,1988,24.2,108.7,25,1007,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,97.0
92,AL0488 ,DEBBY     ,90800,1988,24.4,108.9,25,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,101.0
93,AL0488 ,DEBBY     ,90806,1988,24.3,109.1,20,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,94.0
94,AL0488 ,DEBBY     ,90812,1988,24.2,109.3,20,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,71.0
95,AL0488 ,DEBBY     ,90818,1988,24.0,109.0,20,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,81.0
96,AL0588 ,ERNESTO   ,90300,1988,32.5,60.5,25,1016,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1298.0
97,AL0588 ,ERNESTO   ,90306,1988,33.1,59.2,25,1012,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1280.0
98,AL0588 ,ERNESTO   ,90312,1988,34.3,56.5,30,1008,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1276.0
99,AL0588 ,ERNESTO   ,90318,1988,35.2,53.1,35,1004,,,1008.0,190.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1278.0
100,AL0588 ,ERNESTO   ,90400,1988,35.9,49.5,40,1001,,,1004.0,95.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1237.0
101,AL0588 ,ERNESTO   ,90406,1988,36.6,44.4,45,999,,,,,200.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1335.0
102,AL0588 ,ERNESTO   ,90412,1988,38.0,39.5,50,997,,,1000.0,140.0,200.0,200.0,100.0,100.0,,,,,0.0,0.0,0.0,0.0,* ,1477.0
103,AL0588 ,ERNESTO   ,90418,1988,40.2,35.0,50,996,,,,,200.0,200.0,100.0,100.0,,,,,0.0,0.0,0.0,0.0,* ,1629.0
104,AL0588 ,ERNESTO   ,90500,1988,43.1,29.7,55,994,,,,,,,,,,,,,0.0,0.0,0.0,0.0,* ,1673.0
105,AL0688 ,NOT NAMED ,90700,1988,12.5,17.5,25,1011,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,76.0
106,AL0688 ,NOT NAMED ,90706,1988,13.1,18.0,25,1011,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,130.0
107,AL0688 ,NOT NAMED ,90712,1988,13.8,18.5,35,1008,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,154.0
108,AL0688 ,NOT NAMED ,90718,1988,14.8,19.0,35,1007,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,161.0
109,AL0688 ,NOT NAMED ,90800,1988,15.3,19.1,40,1005,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,180.0
110,AL0688 ,NOT NAMED ,90806,1988,16.4,19.8,40,1003,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,304.0
111,AL0688 ,NOT NAMED ,90812,1988,17.5,20.5,50,1002,,,,,,,,,,,,,0.0,0.0,0.0,0.0,* ,434.0
112,AL0688 ,NOT NAMED ,90818,1988,18.8,21.0,50,999,,,,,,,,,,,,,0.0,0.0,0.0,0.0,* ,479.0
113,AL0688 ,NOT NAMED ,90900,1988,19.9,21.6,50,994,,,,,,,,,,,,,0.0,0.0,0.0,0.0,* ,494.0
114,AL0688 ,NOT NAMED ,90906,1988,21.4,22.0,50,996,,,,,,,,,,,,,0.0,0.0,0.0,0.0,* ,520.0
115,AL0688 ,NOT NAMED ,90912,1988,22.9,22.5,35,1005,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,584.0
116,AL0688 ,NOT NAMED ,90918,1988,24.0,22.5,25,1006,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,614.0
117,AL0688 ,NOT NAMED ,91000,1988,25.0,23.0,25,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,705.0
118,AL0788 ,FLORENCE  ,90706,1988,22.8,92.0,25,1000,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,266.0
119,AL0788 ,FLORENCE  ,90712,1988,22.8,91.2,30,998,,,1007.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,220.0
120,AL0788 ,FLORENCE  ,90718,1988,22.7,90.2,40,996,,,1012.0,470.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,179.0
121,AL0788 ,FLORENCE  ,90800,1988,22.6,89.6,45,993,,,1008.0,245.0,50.0,50.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,151.0
122,AL0788 ,FLORENCE  ,90806,1988,22.7,89.8,45,990,,,1008.0,320.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,168.0
123,AL0788 ,FLORENCE  ,90812,1988,23.1,89.7,45,990,46.0,,1004.0,130.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,208.0
124,AL0788 ,FLORENCE  ,90818,1988,23.4,89.5,45,992,55.0,,1004.0,220.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,234.0
125,AL0788 ,FLORENCE  ,90900,1988,24.2,89.2,50,992,41.0,,1008.0,350.0,50.0,50.0,50.0,50.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,* ,311.0
126,AL0788 ,FLORENCE  ,90906,1988,25.0,89.2,50,991,36.0,,1008.0,240.0,75.0,75.0,75.0,75.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,* ,397.0
127,AL0788 ,FLORENCE  ,90912,1988,26.1,89.2,55,998,,,1008.0,320.0,125.0,125.0,75.0,100.0,75.0,75.0,25.0,25.0,0.0,0.0,0.0,0.0,* ,334.0
128,AL0788 ,FLORENCE  ,90918,1988,27.4,89.2,65,985,,25.0,1008.0,140.0,125.0,125.0,75.0,100.0,75.0,75.0,25.0,50.0,25.0,0.0,0.0,25.0,* ,189.0
129,AL0788 ,FLORENCE  ,91000,1988,28.7,89.3,70,983,,,1008.0,150.0,150.0,150.0,100.0,100.0,100.0,100.0,50.0,50.0,25.0,25.0,25.0,25.0,* ,44.0
130,AL0788 ,FLORENCE  ,91006,1988,29.7,89.7,60,988,,,1008.0,165.0,0.0,75.0,75.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,* ,-6.0
131,AL0788 ,FLORENCE  ,91012,1988,30.7,90.7,30,998,,,1008.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-65.0
132,AL0788 ,FLORENCE  ,91018,1988,31.8,91.5,20,1003,,,1012.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-205.0
133,AL0788 ,FLORENCE  ,91100,1988,32.4,92.3,15,1007,,,1008.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-291.0
134,AL0788 ,FLORENCE  ,91106,1988,32.7,93.3,15,1009,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-322.0
135,AL0788 ,FLORENCE  ,91112,1988,33.0,94.5,15,1010,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-366.0
136,AL0888 ,GILBERT   ,90818,1988,12.0,54.0,25,1008,,,1004.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,696.0
137,AL0888 ,GILBERT   ,90900,1988,12.7,55.6,25,1007,,,1008.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,624.0
138,AL0888 ,GILBERT   ,90906,1988,13.3,57.1,30,1006,,,1008.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,507.0
